Gap ID,Req ID,Gap Description,Risk Rating,Likelihood,Impact,Remediation Effort,Owner,Target Date
GAP-001,3.3 / 3.5,"Full Primary Account Numbers (PANs) are stored unencrypted in the card_number column of the RDS orders table, and raw card data appears in S3 transaction logs via query string parameters.",Critical,High,High,"High (schema changes, tokenization implementation, log scrubbing, data purge)",Engineering Lead,30 days
GAP-002,4.2,"Internal traffic between AWS Lambda and the RDS PostgreSQL instance does not enforce TLS, meaning PANs traversing this path are transmitted in cleartext within the VPC.",High,Medium,High,"Low (enable ssl=require in connection string, enforce SSL on RDS parameter group)",Engineering Lead,14 days
GAP-003,1.3,"No network segmentation exists between the CDE (Lambda, RDS, S3 log path) and the rest of the AWS VPC, expanding the blast radius of any compromise.",High,Medium,High,"Medium (define CDE subnet boundaries, security groups, NACLs; re-architect VPC routing)",Cloud Infrastructure Lead,30 days
GAP-004,8.4,The admin portal is protected by username and password only; no multi-factor authentication is enforced for access into the CDE.,High,Medium,High,"Low (enable MFA via IAM/Cognito or SSO provider, enforce via policy)",Security Lead,14 days
GAP-005,11.3,"No evidence of regular internal/external vulnerability scanning (ASV) or an annual penetration test covering the API Gateway, Lambda, or RDS.",High,Medium,High,"Medium (engage ASV for quarterly scans, schedule annual pentest, remediate findings)",Security Lead,45 days
GAP-006,6.3,"OS and dependency patching is performed roughly quarterly on an ad hoc basis, well outside PCI DSS risk-based patching timelines for critical/high vulnerabilities.",Medium,Medium,Medium,"Medium (adopt automated dependency scanning, define SLA-based patch cadence, e.g. 30 days for critical)",Engineering Lead,60 days
GAP-007,10.4,"CloudWatch logs are collected but never reviewed, and no alerting exists for suspicious access patterns (e.g., repeated failed logins, unusual DB queries).",Medium,Medium,Medium,"Medium (configure CloudWatch alarms/metric filters, route to SIEM or on-call alerting, define review SOP)",Security Operations,45 days
GAP-008,2.2,"No documented secure configuration baseline exists for Lambda and RDS; default parameter groups and configurations appear to be in use rather than hardened, reviewed settings.",Medium,Medium,Medium,"Medium (define hardening baseline, apply custom RDS parameter group, remove default credentials/settings)",Engineering Lead,60 days
GAP-009,7.2,No least-privilege access control model or periodic access review is documented for admin portal users or IAM roles touching the CDE.,Medium,Medium,Medium,"Medium (define role-based access matrix, apply least privilege to IAM policies, schedule quarterly access reviews)",Security Lead,60 days
GAP-010,12.8,Three third-party checkout plugins are in use in the checkout flow with no verified SAQ-A (or equivalent) compliance documentation on file.,Low,Low,Medium,"Low (request SAQ-A/AOC from each vendor, remove or replace any that cannot provide one)",Vendor Management / Procurement,90 days
